TF	P.value	Cluster
Atf3(bZIP)	1e-148	1
Fosl2(bZIP)	1e-147	1
Fra2(bZIP)	1e-146	1
Fra1(bZIP)	1e-145	1
BATF(bZIP)	1e-141	1
JunB(bZIP)	1e-136	1
Jun-AP1(bZIP)	1e-135	1
AP-1(bZIP)	1e-126	1
Mef2b(MADS)	1e-109	1
Mef2c(MADS)	1e-76	1
Mef2a(MADS)	1e-69	1
Bach2(bZIP)	1e-50	1
Mef2d(MADS)	1e-45	1
Dlx3(Homeobox)	1e-41	1
Lhx2(Homeobox)	1e-38	1
LXH9(Homeobox)	1e-31	1
Lhx1(Homeobox)	1e-29	1
Nkx6.1(Homeobox)	1e-28	1
Lhx3(Homeobox)	1e-23	1
Isl1(Homeobox)	1e-21	1
Egr1(Zf)	1e-20	1
WT1(Zf)	1e-15	1
NF-E2(bZIP)	1e-15	1
MafK(bZIP)	1e-10	1
Nrf2(bZIP)	1e-09	1
BHLHA15(bHLH)	1e-09	1
Ap4(bHLH)	1e-08	1
Tcf21(bHLH)	1e-08	1
Tcf12(bHLH)	1e-07	1
MyoD(bHLH)	1e-07	1
Bach1(bZIP)	1e-07	1
Twist2(bHLH)	1e-07	1
Nanog(Homeobox)	1e-07	1
SCL(bHLH)	1e-07	1
TCF4(bHLH)	1e-07	1
CArG(MADS)	1e-06	1
ZBTB18(Zf)	1e-06	1
NeuroG2(bHLH)	1e-06	1
NFE2L2(bZIP)	1e-05	1
TATA-Box(TBP)	1e-05	1
Foxo1(Forkhead)	1e-05	1
Egr2(Zf)	1e-05	1
Myf5(bHLH)	1e-05	1
Znf263(Zf)	1e-05	1
Atoh1(bHLH)	1e-05	1
MyoG(bHLH)	1e-05	1
MafA(bZIP)	1e-04	1
Sp5(Zf)	1e-04	1
Ascl1(bHLH)	1e-04	1
Sox9(HMG)	1e-04	1
KLF14(Zf)	1e-04	1
MafB(bZIP)	1e-04	1
Atf2(bZIP)	1e-04	1
c-Jun-CRE(bZIP)	1e-04	1
Sox3(HMG)	0.001	1
ERG(ETS)	0.001	1
Atf7(bZIP)	0.001	1
Sox10(HMG)	0.001	1
Olig2(bHLH)	0.001	1
Eomes(T-box)	0.001	1
PRDM9(Zf)	0.001	1
JunD(bZIP)	0.001	1
Rbpj1(?)	0.01	1
NeuroD1(bHLH)	0.01	1
Sox2(HMG)	0.01	1
SF1(NR)	0.01	1
Sox4(HMG)	0.01	1
Sox6(HMG)	0.01	1
Twist(bHLH)	0.01	1
E2A(bHLH)	0.01	1
Ptf1a(bHLH)	0.01	1
ERRg(NR)	0.01	1
KLF6(Zf)	0.01	1
Fli1(ETS)	0.01	1
EKLF(Zf)	0.01	1
RBPJ:Ebox(?,bHLH)	0.01	1
Bcl6(Zf)	0.01	1
Sox15(HMG)	0.01	1
Ascl2(bHLH)	0.01	1
ETS1(ETS)	0.01	1
LXRE(NR),DR4	0.01	1
Sox9(HMG)	0	2
Sox10(HMG)	0	2
Sox3(HMG)	0	2
Sox4(HMG)	0	2
Sox15(HMG)	0	2
Sox2(HMG)	0	2
Sox6(HMG)	9.99999999998465e-313	2
LEF1(HMG)	1e-276	2
NF1-halfsite(CTF)	1e-272	2
NF1(CTF)	1e-264	2
Sox17(HMG)	1e-199	2
Tcf3(HMG)	1e-175	2
Tcf7(HMG)	1e-155	2
Tlx?(NR)	1e-115	2
PGR(NR)	1e-110	2
GRE(NR),IR3	1e-101	2
GRE(NR),IR3	1e-83	2
TCFL2(HMG)	1e-70	2
ARE(NR)	1e-58	2
Rbpj1(?)	1e-51	2
HIC1(Zf)	1e-50	2
PR(NR)	1e-48	2
Smad3(MAD)	1e-48	2
Ap4(bHLH)	1e-46	2
Tcf21(bHLH)	1e-36	2
Phox2a(Homeobox)	1e-32	2
AR-halfsite(NR)	1e-31	2
Phox2b(Homeobox)	1e-31	2
Atoh1(bHLH)	1e-30	2
Mef2d(MADS)	1e-29	2
FOXK1(Forkhead)	1e-28	2
RORa(NR)	1e-27	2
ZFX(Zf)	1e-27	2
RORg(NR)	1e-27	2
Tcf12(bHLH)	1e-27	2
MyoD(bHLH)	1e-27	2
Lhx2(Homeobox)	1e-26	2
STAT4(Stat)	1e-26	2
Zac1(Zf)	1e-26	2
RORgt(NR)	1e-25	2
RORgt(NR)	1e-25	2
PPARa(NR),DR1	1e-25	2
COUP-TFII(NR)	1e-25	2
Foxo1(Forkhead)	1e-25	2
PPARE(NR),DR1	1e-25	2
Lhx1(Homeobox)	1e-24	2
Prop1(Homeobox)	1e-24	2
Dlx3(Homeobox)	1e-23	2
RXR(NR),DR1	1e-23	2
FOXK2(Forkhead)	1e-21	2
MyoG(bHLH)	1e-21	2
EAR2(NR)	1e-21	2
ZNF711(Zf)	1e-21	2
LXH9(Homeobox)	1e-21	2
Mef2a(MADS)	1e-21	2
FOXP1(Forkhead)	1e-21	2
SCL(bHLH)	1e-20	2
ZNF416(Zf)	1e-20	2
COUP-TFII(NR)	1e-20	2
Foxo3(Forkhead)	1e-20	2
Hoxd10(Homeobox)	1e-19	2
Oct4:Sox17(POU,Homeobox,HMG)	1e-19	2
Lhx3(Homeobox)	1e-19	2
HNF4a(NR),DR1	1e-19	2
Nkx6.1(Homeobox)	1e-19	2
Hoxa10(Homeobox)	1e-18	2
