ID	chr	start	end	strand	AA_length	method	N_cnt	MetID	Met_AA_length	HMM_profile	Viral_BLAST	NR_BLAST	EVE_BLAST	RetroTector	Repbase
Mmus38.chr1.149401528.149402262.+	chr1	149401528	149402262	+	245	6	0	Mmus38.chr1.149401804.149402262.+.M	153	pol,RVT_1	YP_073558.1(RNA-dependent DNA polymerase [Lymphocystis disease virus - isolate China])	-	-	.	L1_Mus3|LINE/L1
Mmus38.chr11.27202690.27203433.-	chr11	27202690	27203433	-	248	7	0	Mmus38.chr11.27202690.27203403.-.M	238	gag,zf-CCHC_5|pro,dUTPase|DUT,DUT_betaretroviridae|DUT,DUT_lentiviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])	XP_008771984.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Pro|b|HML-6p Gag|b|HERV-K10	ERVB5_1-I_MM|LTR/ERVK
Mmus38.chr12.87550631.87551116.+	chr12	87550631	87551116	+	162	7	0	Mmus38.chr12.87550718.87551116.+.M	133	RT,RT_epsilonretroviridae|RT,RT_gammaretroviridae	NP_955591.1(p80 RT [Moloney murine leukemia virus])	-	-	Pol|c|GaLV_U26927	MuRRS-int|LTR/ERV1
Mmus38.chr13.24330834.24331154.-	chr13	24330834	24331154	-	107	7	0	Mmus38.chr13.24330834.24330968.-.M	45	GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	-	-	Pro|c|MuLV_Rauscher_Pol_U94692 Gag|c|FeLV_Gag_M18247	MuLV-int|LTR/ERV1
Mmus38.chr16.55955618.55956697.+	chr16	55955618	55956697	+	360	7	0	Mmus38.chr16.55955780.55956697.+.M	306	gag,Gag_p30|GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|GaLV_Gag_M26927	MMERGLN-int|LTR/ERV1
Mmus38.chr16.55956555.55957394.+	chr16	55956555	55957394	+	280	7	0	Mmus38.chr16.55956579.55957394.+.M	272	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	XP_008756339.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Gag|c|GaLV_Gag_M26927	MMERGLN-int|LTR/ERV1
Mmus38.chr2.27496050.27496505.+	chr2	27496050	27496505	+	152	7	0	Mmus38.chr2.27496254.27496505.+.M	84	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	XP_007610416.1(PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein)	-	Gag|c|GaLV_Gag_M26927	MURVY-int|LTR/ERV1
Mmus38.chr2.27496603.27496950.+	chr2	27496603	27496950	+	116	7	0	Mmus38.chr2.27496666.27496950.+.M	95	GAG,GAG_gammaretroviridae	YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	AGP25479.1(gag protein [Mus caroli])	-	Gag|c|GaLV_Gag_M26927	MURVY-int|LTR/ERV1
Mmus38.chr2.47531286.47531906.+	chr2	47531286	47531906	+	207	7	0	Mmus38.chr2.47531385.47531906.+.M	174	GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|PERV_MSL_AF038600	MMERGLN-int|LTR/ERV1
Mmus38.chr2.47531576.47532724.+	chr2	47531576	47532724	+	383	7	0	Mmus38.chr2.47531909.47532724.+.M	272	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|PERV_MSL_AF038600	MMERGLN-int|LTR/ERV1
Mmus38.chr2.69808372.69808620.+	chr2	69808372	69808620	+	83	7	0	-	0	RT,RT_betaretroviridae	NP_056891.1(RT-IN [Mason-Pfizer monkey virus])|NP_954565.2(RT-IN [Mason-Pfizer monkey virus])	XP_010617448.1(PREDICTED: LOW QUALITY PROTEIN: endogenous retrovirus group K)	-	Pol|b|HERV-K10	RMER16-int|LTR/ERVK
Mmus38.chr3.3339866.3340534.+	chr3	3339866	3340534	+	223	7	0	Mmus38.chr3.3339908.3340534.+.M	209	GAG,GAG_gammaretroviridae	YP_003580184.1(pre-gag ORF protein, partial [Woolly monkey sarcoma virus])	AAH44668.2(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
Mmus38.chr3.3340497.3340811.+	chr3	3340497	3340811	+	105	7	0	Mmus38.chr3.3340680.3340811.+.M	44	gag,Gag_p30|GAG,GAG_gammaretroviridae	NP_056789.1(Gag polyprotein [Gibbon ape leukemia virus])|YP_002000602.1(hypothetical mature p30(CA) protein [Gibbon ape leukemia virus])|YP_003580190.1(hypothetical mature p30(CA) protein [Woolly monkey sarcoma virus])|YP_008169843.1(gag-pol polyprotein [Koala retrovirus])	AAH21868.1(LOC72520 protein, partial [Mus musculus])	-	Gag|c|FeLV_Gag_M18247	MMERGLN-int|LTR/ERV1
